,State,Service,Price,DateTime
3,TAS1,ENERGY,223.4666129519589,2017/05/01 05:35:00
4,VIC1,ENERGY,56.198136521284354,2017/05/01 05:35:00
0,NSW1,ENERGY,69.94823911499036,2017/05/01 05:40:00
1,QLD1,ENERGY,66.11724400690193,2017/05/01 05:40:00
2,SA1,ENERGY,58.97329044960892,2017/05/01 05:40:00
3,TAS1,ENERGY,223.4666129519589,2017/05/01 05:40:00
4,VIC1,ENERGY,58.061305308028054,2017/05/01 05:40:00
0,NSW1,ENERGY,69.94823911499036,2017/05/01 05:45:00
1,QLD1,ENERGY,66.62227029331143,2017/05/01 05:45:00
2,SA1,ENERGY,59.56610177610876,2017/05/01 05:45:00
3,TAS1,ENERGY,223.4527687296417,2017/05/01 05:45:00
4,VIC1,ENERGY,58.624248736425656,2017/05/01 05:45:00
0,NSW1,ENERGY,77.97455147308452,2017/05/01 05:50:00
1,QLD1,ENERGY,74.28706499661837,2017/05/01 05:50:00
2,SA1,ENERGY,65.24278956193746,2017/05/01 05:50:00
3,TAS1,ENERGY,223.4666129519587,2017/05/01 05:50:00
4,VIC1,ENERGY,65.36942802274976,2017/05/01 05:50:00
0,NSW1,ENERGY,70.43152205836199,2017/05/01 05:55:00
1,QLD1,ENERGY,67.07457378935257,2017/05/01 05:55:00
2,SA1,ENERGY,60.205466687584924,2017/05/01 05:55:00
3,TAS1,ENERGY,223.4666129519589,2017/05/01 05:55:00
4,VIC1,ENERGY,59.600051584562195,2017/05/01 05:55:00
0,NSW1,ENERGY,74.99748566830937,2017/05/01 06:00:00
1,QLD1,ENERGY,70.43313869053674,2017/05/01 06:00:00
2,SA1,ENERGY,63.930856683093744,2017/05/01 06:00:00
3,TAS1,ENERGY,223.4666129519589,2017/05/01 06:00:00
4,VIC1,ENERGY,64.0913513024237,2017/05/01 06:00:00
0,NSW1,ENERGY,70.9458671202722,2017/05/01 06:05:00
1,QLD1,ENERGY,66.80398343005804,2017/05/01 06:05:00
2,SA1,ENERGY,59.995997598559136,2017/05/01 06:05:00
3,TAS1,ENERGY,106.71769563903716,2017/05/01 06:05:00
4,VIC1,ENERGY,60.17124590754457,2017/05/01 06:05:00
0,NSW1,ENERGY,74.99748566830937,2017/05/01 06:10:00
1,QLD1,ENERGY,70.95962103992912,2017/05/01 06:10:00
2,SA1,ENERGY,62.799894599216884,2017/05/01 06:10:00
3,TAS1,ENERGY,106.71769563903716,2017/05/01 06:10:00
4,VIC1,ENERGY,63.72386362264958,2017/05/01 06:10:00
0,NSW1,ENERGY,99.16325714285735,2017/05/01 06:15:00
1,QLD1,ENERGY,91.84991858185587,2017/05/01 06:15:00
2,SA1,ENERGY,83.82772154327425,2017/05/01 06:15:00
3,TAS1,ENERGY,107.30147380103723,2017/05/01 06:15:00
4,VIC1,ENERGY,85.00521376433785,2017/05/01 06:15:00
0,NSW1,ENERGY,98.430070173097,2017/05/01 06:20:00
1,QLD1,ENERGY,90.47336115119921,2017/05/01 06:20:00
2,SA1,ENERGY,83.8277470448384,2017/05/01 06:20:00
3,TAS1,ENERGY,107.30147389223707,2017/05/01 06:20:00
4,VIC1,ENERGY,85.0052137643379,2017/05/01 06:20:00
0,NSW1,ENERGY,99.16793242961587,2017/05/01 06:25:00
1,QLD1,ENERGY,91.80903107403518,2017/05/01 06:25:00
2,SA1,ENERGY,84.77229947862453,2017/05/01 06:25:00
3,TAS1,ENERGY,107.30147860503709,2017/05/01 06:25:00
4,VIC1,ENERGY,85.00521376433785,2017/05/01 06:25:00
0,NSW1,ENERGY,101.76686951992465,2017/05/01 06:30:00
1,QLD1,ENERGY,94.93776801589792,2017/05/01 06:30:00
2,SA1,ENERGY,87.91316116619595,2017/05/01 06:30:00
3,TAS1,ENERGY,107.30147860503726,2017/05/01 06:30:00
4,VIC1,ENERGY,88.11083109298194,2017/05/01 06:30:00
0,NSW1,ENERGY,106.09489948792071,2017/05/01 06:35:00
1,QLD1,ENERGY,98.9262853603138,2017/05/01 06:35:00
2,SA1,ENERGY,92.4797242969234,2017/05/01 06:35:00
3,TAS1,ENERGY,106.71769563903716,2017/05/01 06:35:00
4,VIC1,ENERGY,92.7401180652488,2017/05/01 06:35:00
0,NSW1,ENERGY,106.46526991657983,2017/05/01 06:40:00
1,QLD1,ENERGY,98.49898044838373,2017/05/01 06:40:00
2,SA1,ENERGY,95.08136480709092,2017/05/01 06:40:00
3,TAS1,ENERGY,106.71769563903716,2017/05/01 06:40:00
4,VIC1,ENERGY,94.00417101147029,2017/05/01 06:40:00
0,NSW1,ENERGY,117.77783795620446,2017/05/01 06:45:00
1,QLD1,ENERGY,110.54444880083437,2017/05/01 06:45:00
2,SA1,ENERGY,106.97427153284663,2017/05/01 06:45:00
3,TAS1,ENERGY,106.71769563903716,2017/05/01 06:45:00
4,VIC1,ENERGY,105.00521376433785,2017/05/01 06:45:00
0,NSW1,ENERGY,128.13033666621496,2017/05/01 06:50:00
1,QLD1,ENERGY,119.3222824937068,2017/05/01 06:50:00
2,SA1,ENERGY,118.16351912419216,2017/05/01 06:50:00
3,TAS1,ENERGY,117.23330618892507,2017/05/01 06:50:00
4,VIC1,ENERGY,114.4002034934853,2017/05/01 06:50:00
0,NSW1,ENERGY,134.19420107461474,2017/05/01 06:55:00
1,QLD1,ENERGY,125.88982927412816,2017/05/01 06:55:00
